code,iso,country,EPI.old,EPI.new,EPI(Change)
4,AFG,Afghanistan,18.2,31,12.8
8,ALB,Albania,46.1,52.2,6.1
12,DZA,Algeria,38.5,41.7,3.2
24,AGO,Angola,31.9,40.1,8.2
28,ATG,Antigua and Barbuda,54.4,55.6,1.2
32,ARG,Argentina,45.9,47,1.1
51,ARM,Armenia,42.9,44.9,2
36,AUS,Australia,58.9,63.1,4.2
40,AUT,Austria,68.8,68.9,0.100000000000009
31,AZE,Azerbaijan,40.8,40.5,-0.299999999999997
44,BHS,Bahamas,54.3,55.9,1.6
48,BHR,Bahrain,36.7,35.3,-1.40000000000001
50,BGD,Bangladesh,25.8,28.1,2.3
52,BRB,Barbados,50.5,53.1,2.6
112,BLR,Belarus,49.5,58.2,8.7
56,BEL,Belgium,61.9,66.8,4.9
84,BLZ,Belize,46.5,47.4,0.899999999999999
204,BEN,Benin,38.1,37.8,-0.300000000000004
64,BTN,Bhutan,36.5,43.3,6.8
68,BOL,Bolivia,41.9,45.3,3.4
70,BIH,Bosnia and Herzegovina,42.7,46,3.3
72,BWA,Botswana,51,49.2,-1.8
76,BRA,Brazil,46.3,53,6.7
96,BRN,Brunei Darussalam,51.4,48.3,-3.1
100,BGR,Bulgaria,57.4,56.2,-1.2
854,BFA,Burkina Faso,42.1,42.2,0.100000000000001
108,BDI,Burundi,34.8,33.5,-1.3
132,CPV,Cabo Verde,39.8,38,-1.8
116,KHM,Cambodia,31.2,31.2,0
120,CMR,Cameroon,36.4,38.6,2.2
124,CAN,Canada,57.6,61.1,3.5
140,CAF,Central African Republic,44.1,39,-5.1
148,TCD,Chad,33.9,35.9,2
152,CHL,Chile,46.6,49.6,3
156,CHN,China,29.8,35.4,5.6
170,COL,Colombia,45.3,49.7,4.40000000000001
174,COM,Comoros,44.1,38.2,-5.9
188,CRI,Costa Rica,55.3,55.5,0.200000000000003
384,CIV,Cote d'Ivoire,35.1,42.9,7.8
191,HRV,Croatia,57.4,62.3,4.9
192,CUB,Cuba,50,52.5,2.5
196,CYP,Cyprus,54.1,53.9,-0.200000000000003
203,CZE,Czech Republic,65.1,65.5,0.400000000000006
180,COD,Dem. Rep. Congo,33.5,39.5,6
208,DNK,Denmark,68,67.7,-0.299999999999997
262,DJI,Djibouti,32.1,32.3,0.199999999999996
212,DMA,Dominica,49.5,49.3,-0.200000000000003
214,DOM,Dominican Republic,48.8,47.7,-1.09999999999999
218,ECU,Ecuador,44.3,51.3,7
818,EGY,Egypt,40.2,43.7,3.5
222,SLV,El Salvador,46,41.6,-4.4
226,GNQ,Equatorial Guinea,45,41.7,-3.3
232,ERI,Eritrea,29.3,29,-0.300000000000001
233,EST,Estonia,60.8,75.7,14.9
748,SWZ,Eswatini,41.1,38.7,-2.4
231,ETH,Ethiopia,32.5,36.3,3.8
242,FJI,Fiji,48.4,46,-2.4
246,FIN,Finland,70.7,73.8,3.09999999999999
250,FRA,France,65.4,67,1.59999999999999
266,GAB,Gabon,46,53.3,7.3
270,GMB,Gambia,37,37.6,0.600000000000001
268,GEO,Georgia,41.1,47.3,6.2
276,DEU,Germany,70.2,74.5,4.3
288,GHA,Ghana,35.1,36.9,1.8
300,GRC,Greece,58.4,67.3,8.9
308,GRD,Grenada,45.4,45.8,0.399999999999999
320,GTM,Guatemala,35.3,32.5,-2.8
324,GIN,Guinea,39.4,36.5,-2.9
624,GNB,Guinea-Bissau,42.5,42,-0.5
328,GUY,Guyana,46.7,49,2.3
332,HTI,Haiti,28.7,36.4,7.7
340,HND,Honduras,37.3,40.2,2.90000000000001
348,HUN,Hungary,61.1,59.8,-1.3
352,ISL,Iceland,61.8,64.3,2.5
356,IND,India,23.4,27.6,4.2
