Country,Global_Peace_Index,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank
Iceland,1.095,0.972,82.7,18.9,13.9,69117,12
Norway,1.644,0.97,83.3,18.8,13.1,112710,0
Switzerland,1.294,0.97,84,16.7,13.9,81949,5
Denmark,1.393,0.962,81.9,18.7,13,76008,4
Germany,1.533,0.959,81.4,17.3,14.3,64053,13
Sweden,1.709,0.959,83.3,19,12.7,66102,10
Australia,1.505,0.958,83.9,20.7,12.9,58277,14
"Hong Kong, China (SAR)",,0.955,85.5,16.9,12.4,69436,4
Netherlands,1.491,0.955,82.2,18.6,12.7,68344,6
Belgium,1.492,0.951,82.1,19,12.7,63582,9
Ireland,1.26,0.949,82.4,19.2,11.7,90885,-6
Finland,1.42,0.948,81.9,19.5,13,57068,10
Singapore,1.357,0.946,83.7,16.7,12,111239,-10
United Kingdom,1.634,0.946,81.3,17.8,13.5,54372,13
United Arab Emirates,1.812,0.94,82.9,15.6,13,71142,-4
Canada,1.491,0.939,82.6,15.9,13.9,54688,9
Liechtenstein,,0.938,83.6,15.4,12.4,166812,-16
New Zealand,1.282,0.938,82.1,19.3,12.9,47260,17
United States,2.443,0.938,79.3,15.9,13.9,73650,-7
Korea (Republic of),1.736,0.937,84.3,16.6,12.7,49726,11
Slovenia,1.409,0.931,81.6,17.5,13,46361,15
Austria,1.294,0.93,82,16.3,12.4,63479,-2
Japan,1.44,0.925,84.7,15.5,12.7,47775,10
Malta,,0.924,83.3,15.9,12.4,52155,5
Luxembourg,,0.922,82.2,14.4,12.6,85461,-19
France,1.967,0.92,83.3,16.1,11.8,55060,-2
Israel,3.108,0.919,82.4,14.9,13.5,48050,5
Spain,1.578,0.918,83.7,17.8,10.8,46008,9
Czechia,1.435,0.915,79.8,16.8,13,45889,9
Italy,1.662,0.915,83.7,16.7,10.8,52389,-1
San Marino,,0.915,85.7,14.6,11.4,64706,-13
Andorra,,0.913,84,14.5,11.6,64631,-15
Cyprus,1.933,0.913,81.6,16.2,12.6,45394,7
Greece,1.764,0.908,81.9,20.8,11.6,35761,17
Poland,1.713,0.906,78.6,16.7,13.2,42218,5
Estonia,1.559,0.905,79.2,16,13.6,40881,8
Saudi Arabia,2.035,0.9,78.7,16.9,11.6,50299,-7
Bahrain,2.099,0.899,81.3,15.9,11.1,52819,-11
Lithuania,1.558,0.895,76,16.5,13.6,41916,2
Portugal,1.371,0.89,82.4,17.5,9.7,41064,3
Croatia,1.519,0.889,78.6,16.3,12.1,41380,1
Latvia,1.558,0.889,76.2,16.5,13.4,37998,6
Qatar,1.593,0.886,82.4,13.1,10.8,105353,-39
Slovakia,1.609,0.88,78.3,14.9,13.1,36793,5
Chile,1.899,0.878,81.2,16.9,11.3,28047,16
Hungary,1.5,0.87,77,15.5,12.3,37236,2
Argentina,1.768,0.865,77.4,18.8,11.2,25876,20
Montenegro,1.685,0.862,77.1,15.5,12.8,28026,14
Uruguay,1.784,0.862,78.1,17.5,10.5,28650,12
Oman,1.738,0.858,80,13.4,11.9,36096,0
Türkiye,2.852,0.853,77.2,19.8,9,34507,1
Kuwait,1.642,0.852,80.4,15.9,7.6,56612,-29
Antigua and Barbuda,,0.851,77.6,15.5,11.6,27387,10
Seychelles,,0.848,72.9,18.2,11.2,29195,4
Bulgaria,1.61,0.845,75.6,15.3,11.5,32175,0
Romania,1.721,0.845,75.9,14.1,11.6,39374,-10
Georgia,2.185,0.844,74.5,16.8,12.7,20753,18
