Country,Global_Peace_Index,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,GDP/Capita
iceland,1.095,0.972,82.7,18.9,13.9,69117,12,86040.5309851288
norway,1.644,0.97,83.3,18.8,13.1,112710,0,86785.4334489176
switzerland,1.294,0.97,84,16.7,13.9,81949,5,103998.186685604
denmark,1.393,0.962,81.9,18.7,13,76008,4,71026.4832271897
germany,1.533,0.959,81.4,17.3,14.3,64053,13,56103.7323182554
sweden,1.709,0.959,83.3,19,12.7,66102,10,57117.4877440616
australia,1.505,0.958,83.9,20.7,12.9,58277,14,64603.9856308464
"hong kong, china (sar)",,0.955,85.5,16.9,12.4,69436,4,54074.6928519479
netherlands,1.491,0.955,82.2,18.6,12.7,68344,6,67520.4218956281
belgium,1.492,0.951,82.1,19,12.7,63582,9,56614.5679499036
ireland,1.26,0.949,82.4,19.2,11.7,90885,-6,112894.953240805
finland,1.42,0.948,81.9,19.5,13,57068,10,53149.7671934051
singapore,1.357,0.946,83.7,16.7,12,111239,-10,90674.066632628
united kingdom,1.634,0.946,81.3,17.8,13.5,54372,13,53246.3676145108
united arab emirates,1.812,0.94,82.9,15.6,13,71142,-4,50273.5060469837
canada,1.491,0.939,82.6,15.9,13.9,54688,9,54340.3477224733
liechtenstein,,0.938,83.6,15.4,12.4,166812,-16,
new zealand,1.282,0.938,82.1,19.3,12.9,47260,17,49205.1792146792
united states,2.443,0.938,79.3,15.9,13.9,73650,-7,84534.0407841548
korea (republic of),1.736,0.937,84.3,16.6,12.7,49726,11,36238.639908315
slovenia,1.409,0.931,81.6,17.5,13,46361,15,34301.0318686594
austria,1.294,0.93,82,16.3,12.4,63479,-2,58268.8787651601
japan,1.44,0.925,84.7,15.5,12.7,47775,10,32487.0778047567
malta,,0.924,83.3,15.9,12.4,52155,5,43898.5781808597
luxembourg,,0.922,82.2,14.4,12.6,85461,-19,137781.681659123
france,1.967,0.92,83.3,16.1,11.8,55060,-2,46103.0840855884
israel,3.108,0.919,82.4,14.9,13.5,48050,5,54176.6844383302
spain,1.578,0.918,83.7,17.8,10.8,46008,9,35326.7683069278
czechia,1.435,0.915,79.8,16.8,13,45889,9,31823.3078290564
italy,1.662,0.915,83.7,16.7,10.8,52389,-1,40385.3413957669
san marino,,0.915,85.7,14.6,11.4,64706,-13,
andorra,,0.913,84,14.5,11.6,64631,-15,49303.6491674336
cyprus,1.933,0.913,81.6,16.2,12.6,45394,7,38674.29296875
greece,1.764,0.908,81.9,20.8,11.6,35761,17,24626.1481858973
poland,1.713,0.906,78.6,16.7,13.2,42218,5,25103.565661423
estonia,1.559,0.905,79.2,16,13.6,40881,8,31428.3547816104
saudi arabia,2.035,0.9,78.7,16.9,11.6,50299,-7,35121.6628687742
bahrain,2.099,0.899,81.3,15.9,11.1,52819,-11,29653.5682731534
lithuania,1.558,0.895,76,16.5,13.6,41916,2,29384.0189598663
portugal,1.371,0.89,82.4,17.5,9.7,41064,3,29292.242104753
croatia,1.519,0.889,78.6,16.3,12.1,41380,1,24050.4397933135
latvia,1.558,0.889,76.2,16.5,13.4,37998,6,23409.0845154775
qatar,1.593,0.886,82.4,13.1,10.8,105353,-39,76688.6941743178
slovakia,1.609,0.88,78.3,14.9,13.1,36793,5,
chile,1.899,0.878,81.2,16.9,11.3,28047,16,16709.8893972307
hungary,1.5,0.87,77,15.5,12.3,37236,2,23292.3263882478
argentina,1.768,0.865,77.4,18.8,11.2,25876,20,13969.7836603737
montenegro,1.685,0.862,77.1,15.5,12.8,28026,14,13263.3281277699
uruguay,1.784,0.862,78.1,17.5,10.5,28650,12,23906.5133029408
oman,1.738,0.858,80,13.4,11.9,36096,0,20285.2272897377
türkiye,2.852,0.853,77.2,19.8,9,34507,1,
kuwait,1.642,0.852,80.4,15.9,7.6,56612,-29,32717.7186631255
antigua and barbuda,,0.851,77.6,15.5,11.6,27387,10,23542.4526945578
seychelles,,0.848,72.9,18.2,11.2,29195,4,17858.8226383978
bulgaria,1.61,0.845,75.6,15.3,11.5,32175,0,17596.0173663521
romania,1.721,0.845,75.9,14.1,11.6,39374,-10,20080.2096215595
georgia,2.185,0.844,74.5,16.8,12.7,20753,18,9241.49122313713
saint kitts and nevis,,0.84,72.1,18.4,10.8,29105,1,
panama,2.006,0.839,79.6,13.3,10.8,34385,-6,19161.2188501596
brunei darussalam,,0.837,75.3,13.7,9.3,75827,-51,33153.4738913513
kazakhstan,1.875,0.837,74.4,14,12.5,30989,-4,14154.6324958076
costa rica,1.843,0.833,80.8,16.3,8.8,23417,6,18587.1532203482
serbia,1.914,0.833,76.8,15,11.6,23115,7,13679.2065983557
russian federation,3.441,0.832,73.2,13.2,12.4,39222,-18,14889.0185546875
belarus,2.267,0.824,74.4,13.7,12.3,26725,1,8317.63399913792
bahamas,,0.82,74.6,11.9,12.8,30975,-9,
malaysia,1.469,0.819,76.7,12.7,11.1,32553,-13,11874.4273684245
north macedonia,1.799,0.815,77.4,14.8,10.2,22128,2,9291.85661671864
armenia,1.893,0.811,75.7,14.4,11.3,20221,9,8556.21406956719
barbados,,0.811,76.2,16.6,9.9,17328,20,26544.8707282621
