Country,Global_Peace_Index,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,GDP/Capita,Latitude,Longitude
iceland,1.095,0.972,82.7,18.9,13.9,69117,12,86040.5309851288,64.963051,-19.020835
norway,1.644,0.97,83.3,18.8,13.1,112710,0,86785.4334489176,60.472024,8.468946
switzerland,1.294,0.97,84,16.7,13.9,81949,5,103998.186685604,46.818188,8.227512
denmark,1.393,0.962,81.9,18.7,13,76008,4,71026.4832271897,56.26392,9.501785
germany,1.533,0.959,81.4,17.3,14.3,64053,13,56103.7323182554,51.165691,10.451526
sweden,1.709,0.959,83.3,19,12.7,66102,10,57117.4877440616,60.128161,18.643501
australia,1.505,0.958,83.9,20.7,12.9,58277,14,64603.9856308464,-25.274398,133.775136
hong kong,,0.955,85.5,16.9,12.4,69436,4,54074.6928519479,22.396428,114.109497
netherlands,1.491,0.955,82.2,18.6,12.7,68344,6,67520.4218956281,52.132633,5.291266
belgium,1.492,0.951,82.1,19,12.7,63582,9,56614.5679499036,50.503887,4.469936
ireland,1.26,0.949,82.4,19.2,11.7,90885,-6,112894.953240805,53.41291,-8.24389
finland,1.42,0.948,81.9,19.5,13,57068,10,53149.7671934051,61.92411,25.748151
singapore,1.357,0.946,83.7,16.7,12,111239,-10,90674.066632628,1.352083,103.819836
united kingdom,1.634,0.946,81.3,17.8,13.5,54372,13,53246.3676145108,55.378051,-3.435973
united arab emirates,1.812,0.94,82.9,15.6,13,71142,-4,50273.5060469837,23.424076,53.847818
canada,1.491,0.939,82.6,15.9,13.9,54688,9,54340.3477224733,56.130366,-106.346771
liechtenstein,,0.938,83.6,15.4,12.4,166812,-16,,47.166,9.555373
new zealand,1.282,0.938,82.1,19.3,12.9,47260,17,49205.1792146792,-40.900557,174.885971
united states,2.443,0.938,79.3,15.9,13.9,73650,-7,84534.0407841548,37.09024,-95.712891
korea (republic of),1.736,0.937,84.3,16.6,12.7,49726,11,36238.639908315,35.907757,127.766922
slovenia,1.409,0.931,81.6,17.5,13,46361,15,34301.0318686594,46.151241,14.995463
austria,1.294,0.93,82,16.3,12.4,63479,-2,58268.8787651601,47.516231,14.550072
japan,1.44,0.925,84.7,15.5,12.7,47775,10,32487.0778047567,36.204824,138.252924
malta,,0.924,83.3,15.9,12.4,52155,5,43898.5781808597,35.937496,14.375416
luxembourg,,0.922,82.2,14.4,12.6,85461,-19,137781.681659123,49.815273,6.129583
france,1.967,0.92,83.3,16.1,11.8,55060,-2,46103.0840855884,46.227638,2.213749
israel,3.108,0.919,82.4,14.9,13.5,48050,5,54176.6844383302,31.046051,34.851612
spain,1.578,0.918,83.7,17.8,10.8,46008,9,35326.7683069278,40.463667,-3.74922
czechia,1.435,0.915,79.8,16.8,13,45889,9,31823.3078290564,,
italy,1.662,0.915,83.7,16.7,10.8,52389,-1,40385.3413957669,41.87194,12.56738
san marino,,0.915,85.7,14.6,11.4,64706,-13,,43.94236,12.457777
andorra,,0.913,84,14.5,11.6,64631,-15,49303.6491674336,42.546245,1.601554
cyprus,1.933,0.913,81.6,16.2,12.6,45394,7,38674.29296875,35.126413,33.429859
greece,1.764,0.908,81.9,20.8,11.6,35761,17,24626.1481858973,39.074208,21.824312
