date,AFGHANISTAN_CENTRAL MEDITERRANEAN,AFGHANISTAN_EASTERN BORDERS,AFGHANISTAN_EASTERN MEDITERRANEAN (L),AFGHANISTAN_EASTERN MEDITERRANEAN (S),AFGHANISTAN_WESTERN BALKAN,ALBANIA_WESTERN BALKAN,ALGERIA_CENTRAL MEDITERRANEAN,ALGERIA_WESTERN BALKAN,ALGERIA_WESTERN MEDITERRANEAN (L),ALGERIA_WESTERN MEDITERRANEAN (S),BANGLADESH_CENTRAL MEDITERRANEAN,BANGLADESH_EASTERN MEDITERRANEAN (L),BANGLADESH_EASTERN MEDITERRANEAN (S),BANGLADESH_WESTERN BALKAN,BELARUS_EASTERN BORDERS,BENIN_CENTRAL MEDITERRANEAN,BURKINA FASO_CENTRAL MEDITERRANEAN,BURUNDI_WESTERN BALKAN,CAMEROON_CENTRAL MEDITERRANEAN,CAMEROON_EASTERN MEDITERRANEAN (L),CAMEROON_EASTERN MEDITERRANEAN (S),CAMEROON_WESTERN AFRICAN,CAMEROON_WESTERN BALKAN,CHAD_CENTRAL MEDITERRANEAN,CHINA_WESTERN BALKAN,COMOROS_CENTRAL MEDITERRANEAN,COMOROS_WESTERN AFRICAN,CONGO (BRAZZAVILLE)_CENTRAL MEDITERRANEAN,CONGO (BRAZZAVILLE)_EASTERN MEDITERRANEAN (L),CONGO (BRAZZAVILLE)_EASTERN MEDITERRANEAN (S),CONGO (BRAZZAVILLE)_WESTERN BALKAN,CONGO (KINSHASA)_CENTRAL MEDITERRANEAN,CONGO (KINSHASA)_EASTERN MEDITERRANEAN (L),CONGO (KINSHASA)_EASTERN MEDITERRANEAN (S),CONGO (KINSHASA)_WESTERN BALKAN,CUBA_WESTERN BALKAN,CÔTE D'IVOIRE_CENTRAL MEDITERRANEAN,CÔTE D'IVOIRE_WESTERN AFRICAN,EGYPT_CENTRAL MEDITERRANEAN,EGYPT_EASTERN MEDITERRANEAN (L),EGYPT_EASTERN MEDITERRANEAN (S),EGYPT_WESTERN BALKAN,ERITREA_CENTRAL MEDITERRANEAN,ERITREA_EASTERN BORDERS,ERITREA_EASTERN MEDITERRANEAN (S),ETHIOPIA_CENTRAL MEDITERRANEAN,ETHIOPIA_EASTERN BORDERS,ETHIOPIA_EASTERN MEDITERRANEAN (S),GAMBIA_CENTRAL MEDITERRANEAN,GAMBIA_EASTERN MEDITERRANEAN (S),GAMBIA_WESTERN AFRICAN,GEORGIA_EASTERN MEDITERRANEAN (L),GHANA_CENTRAL MEDITERRANEAN,GHANA_EASTERN MEDITERRANEAN (S),GUINEA-BISSAU_WESTERN AFRICAN,GUINEA_CENTRAL MEDITERRANEAN,GUINEA_EASTERN MEDITERRANEAN (S),GUINEA_WESTERN AFRICAN,GUINEA_WESTERN MEDITERRANEAN (L),GUINEA_WESTERN MEDITERRANEAN (S),INDIA_EASTERN MEDITERRANEAN (S),INDIA_WESTERN BALKAN,IRAN_CENTRAL MEDITERRANEAN,IRAN_EASTERN BORDERS,IRAN_EASTERN MEDITERRANEAN (L),IRAN_EASTERN MEDITERRANEAN (S),IRAN_WESTERN BALKAN,IRAQ_CENTRAL MEDITERRANEAN,IRAQ_EASTERN BORDERS,IRAQ_EASTERN MEDITERRANEAN (L),IRAQ_EASTERN MEDITERRANEAN (S),IRAQ_WESTERN BALKAN,KOSOVO*_WESTERN BALKAN,KUWAIT_EASTERN MEDITERRANEAN (S),LEBANON_CENTRAL MEDITERRANEAN,LIBERIA_CENTRAL MEDITERRANEAN,LIBERIA_EASTERN MEDITERRANEAN (S),LIBYA_CENTRAL MEDITERRANEAN,LIBYA_WESTERN BALKAN,MALI_CENTRAL MEDITERRANEAN,MALI_EASTERN MEDITERRANEAN (S),MALI_WESTERN AFRICAN,MALI_WESTERN MEDITERRANEAN (S),MAURITANIA_WESTERN AFRICAN,MONGOLIA_WESTERN BALKAN,MOROCCO_CENTRAL MEDITERRANEAN,MOROCCO_EASTERN MEDITERRANEAN (L),MOROCCO_WESTERN AFRICAN,MOROCCO_WESTERN BALKAN,MOROCCO_WESTERN MEDITERRANEAN (L),MOROCCO_WESTERN MEDITERRANEAN (S),NEPAL_WESTERN BALKAN,NIGERIA_CENTRAL MEDITERRANEAN,NIGERIA_EASTERN MEDITERRANEAN (L),NIGERIA_EASTERN MEDITERRANEAN (S),OTHER_CENTRAL MEDITERRANEAN,OTHER_EASTERN BORDERS,OTHER_EASTERN MEDITERRANEAN (L),OTHER_EASTERN MEDITERRANEAN (S),OTHER_WESTERN AFRICAN,OTHER_WESTERN BALKAN,OTHER_WESTERN MEDITERRANEAN (L),OTHER_WESTERN MEDITERRANEAN (S),PAKISTAN_CENTRAL MEDITERRANEAN,PAKISTAN_EASTERN MEDITERRANEAN (L),PAKISTAN_EASTERN MEDITERRANEAN (S),PAKISTAN_WESTERN AFRICAN,PAKISTAN_WESTERN BALKAN,PALESTINE^_CENTRAL MEDITERRANEAN,PALESTINE^_EASTERN MEDITERRANEAN (L),PALESTINE^_EASTERN MEDITERRANEAN (S),PALESTINE^_WESTERN BALKAN,SENEGAL_CENTRAL MEDITERRANEAN,SENEGAL_WESTERN AFRICAN,SIERRA LEONE_CENTRAL MEDITERRANEAN,SIERRA LEONE_EASTERN MEDITERRANEAN (S),SOMALIA_CENTRAL MEDITERRANEAN,SOMALIA_EASTERN BORDERS,SOMALIA_EASTERN MEDITERRANEAN (L),SOMALIA_EASTERN MEDITERRANEAN (S),SOMALIA_WESTERN BALKAN,SOUTH SUDAN_CENTRAL MEDITERRANEAN,SRI LANKA_WESTERN BALKAN,STATELESS_EASTERN MEDITERRANEAN (S),SUDAN_CENTRAL MEDITERRANEAN,SUDAN_EASTERN BORDERS,SUDAN_EASTERN MEDITERRANEAN (S),SUDAN_WESTERN MEDITERRANEAN (L),SYRIA_CENTRAL MEDITERRANEAN,SYRIA_EASTERN BORDERS,SYRIA_EASTERN MEDITERRANEAN (L),SYRIA_EASTERN MEDITERRANEAN (S),SYRIA_WESTERN BALKAN,SYRIA_WESTERN MEDITERRANEAN (S),TOGO_CENTRAL MEDITERRANEAN,TUNISIA_CENTRAL MEDITERRANEAN,TUNISIA_WESTERN BALKAN,TÜRKIYE_CENTRAL MEDITERRANEAN,TÜRKIYE_EASTERN BORDERS,TÜRKIYE_EASTERN MEDITERRANEAN (L),TÜRKIYE_EASTERN MEDITERRANEAN (S),TÜRKIYE_WESTERN BALKAN,UKRAINE_EASTERN BORDERS,UNKNOWN_CENTRAL MEDITERRANEAN,UNKNOWN_EASTERN MEDITERRANEAN (S),UNSPECIFIED SUB-SAHARAN NATIONALS_WESTERN AFRICAN,UNSPECIFIED SUB-SAHARAN NATIONALS_WESTERN MEDITERRANEAN (S),YEMEN_CENTRAL MEDITERRANEAN,YEMEN_EASTERN MEDITERRANEAN (S),YEMEN_WESTERN BALKAN
2020-01-01,0,0,12,1682,268,2,254,46,0,693,199,89,0,4,0,3,8,0,29,49,77,0,0,13,4,1,12,1,17,83,0,6,4,126,0,2,219,3,21,9,8,29,65,0,9,7,0,2,12,29,0,5,1,14,4,146,14,2,1,0,0,11,0,0,64,94,17,0,0,35,109,83,23,4,0,5,0,22,20,80,11,0,0,0,0,95,2,139,103,0,331,0,33,49,12,13,23,54,62,0,11,0,0,14,75,5,0,14,0,12,96,53,50,14,7,13,123,0,21,112,0,16,0,0,257,0,10,0,3,3,103,739,1773,0,0,69,13,0,10,488,5,27,1,0,37,534,118,2,2,13
2020-02-01,0,1,137,750,514,8,61,7,0,433,411,126,3,1,0,8,5,0,37,162,19,0,0,18,0,0,0,2,67,4,0,0,6,165,0,0,90,34,9,12,14,25,17,0,7,10,0,0,27,19,0,6,25,3,0,24,6,6,0,0,0,10,0,0,30,65,12,0,3,18,118,81,5,0,0,2,0,24,3,61,6,11,0,0,0,56,4,14,38,0,157,0,44,86,13,30,17,74,64,10,12,0,7,10,145,1,0,16,0,7,111,19,31,10,11,5,224,0,44,144,0,56,0,2,318,1,16,0,1,0,108,642,1288,7,11,26,2,0,4,421,2,22,4,0,0,340,631,0,6,8
2020-03-01,0,0,115,624,195,4,4,3,0,66,44,103,0,0,0,0,1,0,4,88,52,0,0,0,0,0,0,4,18,188,0,0,8,98,0,0,29,0,41,8,8,42,90,0,13,16,0,6,3,11,0,1,8,22,0,10,6,0,0,12,0,8,0,3,10,44,19,4,0,7,115,53,4,14,0,0,0,0,6,7,5,0,3,0,0,33,8,10,17,0,100,0,1,70,7,0,19,88,50,0,8,0,33,4,173,47,0,18,2,2,90,19,0,0,0,6,0,0,17,200,6,0,0,7,4,0,13,0,3,3,99,767,881,0,0,60,5,0,16,19,5,1,2,3,0,413,326,0,6,31
2020-04-01,0,0,10,7,5,0,7,0,0,87,38,38,0,0,0,0,6,0,7,7,0,0,0,9,0,5,0,5,1,0,0,0,3,21,0,0,156,0,16,2,0,0,17,0,0,1,0,0,0,1,0,1,1,0,0,47,2,0,1,0,0,0,0,0,0,5,0,6,0,1,0,2,0,0,0,3,0,0,0,33,0,0,0,0,0,89,0,3,2,0,1,0,4,2,0,1,2,3,3,0,0,56,0,0,18,0,0,0,1,0,0,12,7,0,0,0,36,0,5,0,0,6,0,0,169,0,0,0,16,0,9,0,67,0,0,37,0,0,0,0,0,1,3,0,0,326,23,0,0,1
2020-05-01,0,0,0,48,185,0,53,5,0,362,482,20,0,13,3,0,3,0,12,5,0,20,0,10,0,3,51,9,0,56,0,1,0,87,0,0,326,169,17,1,0,7,0,0,1,0,0,1,8,9,23,0,12,2,0,51,2,128,28,21,0,4,0,0,0,5,11,0,0,0,0,76,0,0,0,1,0,1,5,11,1,72,1,0,0,88,0,223,41,6,293,0,57,0,0,3,13,12,8,46,5,23,46,8,12,1,0,51,0,0,0,47,4,222,7,0,20,0,7,0,0,0,0,0,48,0,0,20,1,0,15,8,736,40,5,498,6,0,0,1,1,9,3,1,0,696,0,0,0,2
2020-06-01,46,0,13,85,744,1,99,6,0,723,353,33,0,10,2,3,3,0,32,26,9,0,0,8,0,0,0,0,10,20,2,0,17,44,0,0,83,0,62,1,0,22,66,0,8,1,0,0,7,6,0,2,18,0,0,64,0,0,0,0,0,4,23,0,9,6,61,15,0,6,2,139,12,0,0,4,0,0,49,30,2,0,0,0,0,55,2,37,69,0,76,0,23,15,0,11,19,36,16,0,10,2,1,75,37,0,0,38,1,5,6,77,26,0,14,0,19,0,20,0,8,7,0,0,232,0,0,0,18,1,145,60,1207,0,1,818,11,1,0,34,6,9,7,10,0,185,8,0,0,26
2020-07-01,124,4,22,59,781,12,195,9,2,1525,1090,36,0,30,1,7,9,0,11,57,2,0,0,10,0,0,0,0,29,1,1,0,18,54,0,1,68,0,174,1,0,24,168,0,0,7,0,2,22,2,0,0,71,0,0,32,1,0,1,0,0,7,24,0,0,0,41,26,0,9,1,81,13,0,0,11,0,9,54,101,0,0,0,0,1,139,2,76,59,5,370,3,51,40,0,14,38,49,10,7,9,2,2,339,46,0,0,34,1,3,0,79,13,0,6,0,88,2,16,92,14,3,0,0,60,1,3,0,24,2,205,65,883,0,10,4317,4,7,5,78,9,13,12,0,13,353,141,1,3,13
2020-08-01,231,0,13,47,612,16,193,36,0,1520,782,32,0,28,1,7,11,0,53,10,0,0,0,4,0,1,0,0,1,8,0,0,5,29,0,1,107,0,186,2,8,13,51,0,0,1,0,0,26,1,0,1,47,0,0,69,0,0,2,0,0,0,146,0,2,13,18,44,1,8,23,41,15,0,1,5,0,156,86,30,2,0,0,0,0,116,0,154,38,1,438,0,104,4,1,20,40,16,15,0,24,14,2,311,54,13,0,16,3,1,2,65,24,0,32,0,246,0,9,73,9,4,0,0,232,0,0,0,22,3,127,107,752,0,4,2159,15,8,5,488,133,10,5,5,0,643,103,1,2,5
2020-09-01,71,2,39,81,689,13,265,39,0,2000,131,22,6,20,3,2,12,0,50,14,0,0,1,17,4,0,0,0,11,0,0,0,13,0,0,0,170,0,101,2,8,51,100,2,0,5,0,0,23,0,0,2,104,0,0,124,0,0,0,0,0,9,106,0,15,27,7,45,0,17,34,45,15,0,0,2,0,106,84,139,0,0,0,0,0,56,0,1004,64,0,740,0,42,6,0,21,52,14,9,21,20,0,0,283,41,35,0,13,1,0,2,70,27,0,14,0,75,3,19,41,9,2,0,0,167,0,0,0,25,4,322,65,1313,0,5,1959,18,4,7,509,6,19,6,4,0,1123,140,4,0,34
2020-10-01,238,22,47,4,422,19,93,35,0,1999,177,43,7,53,0,1,15,0,8,32,0,0,0,5,0,1,0,2,32,0,1,0,22,0,0,0,130,0,215,0,0,72,70,0,0,14,1,0,3,0,0,0,8,0,0,36,0,0,0,0,0,13,254,0,1,14,42,183,0,24,53,60,19,0,0,0,0,22,157,3,0,0,0,0,0,112,0,3006,80,0,692,0,8,14,0,22,68,49,27,20,20,0,0,229,65,27,0,45,15,1,2,92,12,0,2,0,40,3,11,50,4,1,0,0,43,0,0,0,67,2,376,77,2582,1,0,1276,49,40,4,824,4,20,2,29,22,2316,112,0,1,26
2020-11-01,155,12,10,35,386,11,162,30,0,1273,731,39,0,56,9,10,38,0,97,99,2,0,4,18,0,0,0,5,24,0,0,0,58,30,0,0,498,0,211,2,0,15,252,0,0,31,0,0,52,2,0,1,96,9,0,244,10,0,0,0,0,2,146,2,17,4,23,92,15,27,6,30,8,0,0,5,0,73,95,137,2,0,0,0,0,263,2,5226,62,0,298,0,120,31,2,28,42,55,16,0,6,1,44,83,59,1,0,14,0,0,5,67,45,0,68,0,149,0,12,65,3,0,0,0,212,0,0,0,10,0,339,62,2300,0,18,1288,42,3,8,560,3,22,5,6,0,2949,196,2,0,19
