feature,base_penalty_v,best_eta,final_penalty_weight,coefficient,abs_coefficient
num__push_count,0.1,1,0.1,0.03207004094506994,0.03207004094506994
num__log_origin_gdp_pc,0.1,1,0.1,0.0,0.0
num__log_dest_gdp_pc,0.1,1,0.1,0.0,0.0
num__n_articles,0.1,1,0.1,0.0,0.0
num__unclear_count,1.0,1,1.0,0.0,0.0
num__mixed_count,0.7,1,0.7,0.0,0.0
num__pull_count,0.4,1,0.4,0.0,0.0
num__gpi_diff,0.4,1,0.4,0.0,0.0
num__hdi_diff,0.1,1,0.1,0.0,0.0
num__gdp_pc_diff,0.1,1,0.1,0.0,0.0
num__log_distance_km,0.4,1,0.4,0.0,0.0
num__dest_hdi,0.1,1,0.1,0.0,0.0
num__origin_hdi,0.1,1,0.1,0.0,0.0
num__dest_gpi,0.4,1,0.4,0.0,0.0
num__origin_gpi,0.4,1,0.4,0.0,0.0
num__dest_life_expectancy,0.4,1,0.4,0.0,0.0
num__origin_life_expectancy,0.4,1,0.4,0.0,0.0
num__dest_expected_schooling,0.4,1,0.4,0.0,0.0
num__origin_expected_schooling,0.4,1,0.4,0.0,0.0
cat__pair_id_mexico__united states,1.0,1,1.0,0.0,0.0
