origin,destination,year,migration_flow,push_ratio,pull_ratio,n_articles
Ukraine,Poland,2019-01,4745,1,0,12
Ukraine,Poland,2019-02,5673,1,0,12
Ukraine,Poland,2019-03,5954,1,0,12
Ukraine,Poland,2019-04,5168,1,0,12
Ukraine,Poland,2019-05,5897,1,0,12
Ukraine,Poland,2019-06,6902,1,0,12
Ukraine,Poland,2019-07,6849,1,0,12
Ukraine,Poland,2019-08,6680,1,0,12
Ukraine,Poland,2019-09,6813,1,0,12
Ukraine,Poland,2019-10,5249,1,0,12
Ukraine,Poland,2019-11,3846,1,0,12
Ukraine,Poland,2019-12,3309,1,0,12
Ukraine,Poland,2020-01,4622,1,0,12
Ukraine,Poland,2020-02,7017,1,0,12
Ukraine,Poland,2020-03,4948,1,0,12
Ukraine,Poland,2020-04,1800,1,0,12
Ukraine,Poland,2020-05,1364,1,0,12
Ukraine,Poland,2020-06,998,1,0,12
Ukraine,Poland,2020-07,1062,1,0,12
Ukraine,Poland,2020-08,1902,1,0,12
Ukraine,Poland,2020-09,4691,1,0,12
Ukraine,Poland,2020-10,10286,1,0,12
Ukraine,Poland,2020-11,10045,1,0,12
Ukraine,Poland,2020-12,10263,1,0,12
Ukraine,Poland,2021-01,5821,1,0,12
Ukraine,Poland,2021-02,7341,1,0,12
Ukraine,Poland,2021-03,7686,1,0,12
Ukraine,Poland,2021-04,5069,1,0,12
Ukraine,Poland,2021-05,7426,1,0,12
Ukraine,Poland,2021-06,9412,1,0,12
Ukraine,Poland,2021-07,11459,1,0,12
Ukraine,Poland,2021-08,9976,1,0,12
Ukraine,Poland,2021-09,11861,1,0,12
Ukraine,Poland,2021-10,15170,1,0,12
Ukraine,Poland,2021-11,18479,1,0,12
Ukraine,Poland,2021-12,13996,1,0,12
Ukraine,Poland,2022-01,20235,1,0,12
Ukraine,Poland,2022-02,29717,1,0,12
Ukraine,Poland,2022-03,34448,1,0,12
Ukraine,Poland,2022-04,98774,1,0,12
Ukraine,Poland,2022-05,163937,1,0,12
Ukraine,Poland,2022-06,112254,1,0,12
Ukraine,Poland,2022-07,51912,1,0,12
Ukraine,Poland,2022-08,35649,1,0,12
Ukraine,Poland,2022-09,24994,1,0,12
Ukraine,Poland,2022-10,30263,1,0,12
Ukraine,Poland,2022-11,23542,1,0,12
