origin,destination,year,migration_flow,push_ratio,pull_ratio,n_articles
Ukraine,Poland,2022-01,139879,1,0,12
Ukraine,Poland,2022-02,148214,1,0,12
Ukraine,Poland,2022-03,84820,1,0,12
Ukraine,Poland,2022-04,103104,1,0,12
Ukraine,Poland,2022-05,113016,1,0,12
Ukraine,Poland,2022-06,38431,1,0,12
Ukraine,Poland,2022-07,149981,1,0,12
Ukraine,Poland,2022-08,86803,1,0,12
Ukraine,Poland,2022-09,61606,1,0,12
Ukraine,Poland,2022-10,141729,1,0,12
Ukraine,Poland,2022-11,68555,1,0,12
Ukraine,Poland,2022-12,55920,1,0,12
