corridor,year,title,URL,pressure_url_1,reason_url_1,pressure_url_2,reason_url_2,article_text,pressure_article,reason_article,pressure_final,reason_final,final_source,mode_used
Ukraine-Poland,2022,Article 1,https://www.nbcnews.com/world/ukraine/ukrainian-refugees-years-after-russia-invasion-fear-return-rcna250438,push,ukrainian-refugees,,,"With bombs raining down and Russian forces rapidly approaching Kyiv, Taria Blazhevych made the difficult decision to flee Ukraine with her children and move abroad.

Subscribe to read this story ad-free Get unlimited access to ad-free articles and exclusive content.

She was far from the only one, and many like Blazhevych believed they would one day return. But after the war entered its fifth year last month, some are not so sure they will leave their new lives behind and return to Ukraine.

“There’s no end in sight for this war. I’m afraid it will drag on forever,” Blazhevych told NBC News in a telephone interview last month from her home in Washington, D.C., where she lives with her sons, Artem, 9, and 7-year-old Denys.

The 31-year-old, who left Ukraine five months after Russian President Vladimir Putin ordered the invasion on Feb. 24, 2022, is among the nearly 6 million people who have left the country during the war, according to the United Nations Refugee Agency. While many have since found work, education and a degree of stability in their host countries, some like Blazhevych fear their children will forget their homeland or struggle to adapt if they return.",,,push,ukrainian-refugees,url_1,3
Ukraine-Poland,2022,Article 2,https://www.npr.org/2022/11/01/1132167234/russia-ukraine-war-unemployment-displaced-economy,push,unemployment-displaced-economy,,,"Millions of Ukrainians have escaped the war. Many still can't find enough work

Enlarge this image toggle caption Claire Harbage/NPR Claire Harbage/NPR

LVIV, Ukraine — When a wall in their two-story home collapsed under Russian bombardment, and the explosions didn't cease, the Korchevsky family left the middle-class life they'd built in Mariupol, packing what they could into a neighbor's car.

Months later, jobs gone, savings depleted and unable to afford rent, they are living in what's essentially a short shipping container, sandwiched between others, in a Lviv city park.

A new report from the United Nations International Labour Organization (ILO) estimates that 2.4 million Ukrainians have lost their jobs in the eight months since Russia's full-scale invasion began, putting unprecedented pressure on the country's social welfare system.

Sponsor Message

Thousands of businesses have been destroyed or depleted of employees. Imports and exports have been strangled by repeated attacks on Ukrainian infrastructure and the occupation of many of Ukraine's Black Sea ports. At a recent meeting in Berlin, Ukrainian Prime Minister Denys Shmyhal told Western leaders the conflict has wiped out at least 35% of the country's economy.

The figures paint a dire picture of the country's economic and humanitarian situation as it aims to keep public morale high amid power outages, broad Russian missile strikes, slow territorial gains and a coming winter that the World Health Organization says could be brutal for Ukraine's most vulnerable.

For displaced and struggling families like the Korchevskys, the figures are an all-too real reflection of what life has been reduced to even in the relative peace of the country's western regions.

Enlarge this image toggle caption Claire Harbage/NPR Claire Harbage/NPR

""I can't find work""

Before his home city was reduced to rubble and taken by Russia, Volodymyr Korchevsky made a good living working in the port city of Mariupol's steel plants on Ukraine's southern coast. His wife, Hanna Korchevska, taught kindergarten classes.

""I graduated in 1994. Metallurgical Institute of Maripol,"" the 50-year-old says with a proud smile, standing outside the makeshift shelter — some 700 miles away — that he now calls home.

Sponsor Message

They owned their home. His monthly salary was roughly $500 per month. Hers was roughly $300. Today, they're living on a combination of social welfare he's been able to get from the local unemployment office, a meager salary his wife has been able to pull together cleaning up garbage at a local park and the $400 per month his 18-year-old son earns working for a cybersecurity firm while attending online college courses.

""I can't find work,"" Volodymyr Korchevsky says. ""Western Ukraine doesn't have many opportunities in heavy industry.""

Enlarge this image toggle caption Claire Harbage/NPR Claire Harbage/NPR

Hundreds of thousands of Ukrainians have returned home in the eight months of war, but more than 6.2 million Ukrainians are still living in other parts of Ukraine after Russia's full-scale invasion, according to the most recent survey from the International Organization for Migration.

For many, the transition has come with difficulties. A survey by the International Organization for Migration in July found that 60% of the country's displaced people lost their jobs. The country's unemployment rate has soared to 34%, according to the National Bank of Ukraine — a figure, labor experts say, that doesn't capture the whole picture because so many people in Ukraine had undeclared jobs before the invasion.

""We can say that a lot of people lost their jobs. They lost their businesses. Houses,"" says Nataliia Slaviuk, an economist and assistant professor at the University of Kyiv-Mohyla Academy. ""And also a drop in income of people as far as depreciation of the currency.""

The inflation rate in Ukraine has soared to over 20%. The cost of everyday goods like food, clothing and medicine has become harder for people to afford.

""Rent is expensive. Food is expensive. A dozen of eggs in the shop used to be [a dollar],"" Korchevsky says. ""Now it's like [two dollars] in the shop.""

Enlarge this image toggle caption Claire Harbage/NPR Claire Harbage/NPR

A survey of Ukrainians conducted by the European Union, the Centre for Economic Recovery and Gradus Research found that 66% of respondents felt the need for more money.

Sponsor Message

""In general, those who relocated within Ukraine have more needs than those who stayed or moved abroad,"" the survey found.

The United Nations High Commissioner for Refugees and other aid organizations have been trying to help financially struggling Ukrainians with cash payments. The International Rescue Committee has been distributing money to vulnerable populations and large families — typically three monthly payments of about $70.

""When we speak with people after we've distributed the cash, we find they're spending most of that amount on food, medical expenses, rent and child care costs,"" says Marysia Zapasnik, the nonprofit's Ukraine director. ""And we're expecting that as winter approaches, lots more of that money will have to go to some sort of heating source and winter clothing.""

Ukraine's social welfare system is reeling

At unemployment centers across Ukraine, job postings are tacked to boards. Postings for sewers, cooks, welders and truck drivers are posted in the lobby of the Lviv city employment center. Most of the jobs pay just over the minimum wage, roughly $280 per month.

The average rent for a one-bedroom apartment in Lviv, local realtors say, is about $270 per month.

""It's a difficult situation for these people,"" says Oleh Risny, the employment office's director, but he adds it's difficult for everyone. The Lviv region employment center just laid off 40% of its own staff, he says, ""because we have no money.""

Ukraine is running an average monthly deficit of $5 billion, according to President Volodymyr Zelenskyy. And defense spending is expected to increase. A draft budget for 2023, approved by the Ukrainian government in September, called for a tripling of defense spending to nearly 18% of the country's gross domestic product. Pension provision and social spending is roughly a third of that.

The National Bank of Ukraine, which aggregates the country's current economic statistics, did not respond to questions about social welfare spending.

Sponsor Message

""Most of the income of the state is going to the army,"" Slaviuk says. ""So all the social expenses possible are being cut.""

Enlarge this image toggle caption Claire Harbage/NPR Claire Harbage/NPR

Efforts are underway to employ the displaced

Business leaders and economists say there are opportunities for people who have been displaced and that those will grow as more businesses relaunch operations in new parts of the country.

More than 700 businesses have relocated to safer parts of the country, Tetiana Berezhnaty, Ukraine's deputy economy minister, told local television hosts in September. Industrial enterprises, typically found in natural resource-rich eastern Ukraine, are moving west.

Others are looking to fill payrolls with people who have been forced to relocate. More than 5 million Ukrainians have left the country, according to U.N. statistics. Hundreds of thousands who stayed have been mobilized to fight in the country's armed forces.

Businesses, like ArcelorMittal Kryvyi Rih, a major steel plant in the south-central part of the country, have made a concerted effort to fill gaps by hiring people who have been displaced.

""We are recruiting people from the areas that have been significantly affected by the war,"" Artem Filipiev, the chief administrative officer of ArcelorMittal Kryvyi Rih, told NPR in an interview over the summer.

Enlarge this image toggle caption Claire Harbage/NPR Claire Harbage/NPR

Earlier this month, Ukraine's Ministry of Economy announced plans to create an ""Army of Restoration,"" a workforce to rebuild the hundreds of billions of dollars worth of damaged buildings and infrastructure in the country. It will pay people roughly $280 per month.

""I need victory""

For Volodymyr Korchevsky, the options for work are limited. After relocating to Lviv, he went to the military recruitment office and during his medical checks, doctors discovered he has heart disease.

""I need two stints,"" he says, standing in the park in slippers and socks knitted by his wife. ""But we can't afford it.""

His 14-year-old son, Ulysses, sits at a desktop computer in the back of the temporary shelter they now call home playing a video game where he drives tanks. A stray cat they adopted meows in his lap.

Enlarge this image toggle caption Claire Harbage/NPR Claire Harbage/NPR

The boy is not doing well psychologically since leaving Maripol, Korchevsky says.

Sponsor Message

""Because of the shelling and bombing, the cold and the hunger, he's really into himself right now,"" he says. ""He doesn't wan",,,push,unemployment-displaced-economy,url_1,3
Ukraine-Poland,2022,Article 3,https://www.npr.org/2022/05/10/1093066817/ukraine-war-gas-prices-refugees,neutral,gas-prices-refugees,push,ukraine-war refugees,"The ripple effects of Russia's war in Ukraine are changing the world

Loading...

Far from Russia's war in Ukraine, stores are running out of cooking oil, people are paying more at the gas pump, farmers are scrambling to buy fertilizer and nations are rethinking alliances.

Russia's invasion of Ukraine has triggered seismic repercussions: a fast-moving refugee crisis, unprecedented sanctions against a major economy and a shakeup of global relationships, including a reinvigorated NATO. Below, we zoom in on some of the ways the world has changed since the war began on Feb. 24.

Sponsor Message

Loading...

Ukraine and Russia are key exporters of wheat, barley, corn and cooking oil, particularly for African and Middle Eastern countries. Russia is also a major producer of fertilizer and petroleum. Disruptions to the flow of these goods are compounding other supply chain and climate challenges, driving up food and gas prices, causing shortages and pushing millions of people into hunger.

Loading...

Loading...

More than 5.8 million people have fled Ukraine in one of the fastest-growing refugee crises in recent history. Humanitarian groups, with resources already strained by crises elsewhere, have sprung into action. The U.N. refugee agency has projected that some 8.3 million people might leave Ukraine and called for more financial support for refugees and host countries as both face challenges with access to food, housing, transportation, education and money.

Loading...

Loading...

A 21st century war in Europe — led by a nuclear power — is pushing the world toward a potentially profound realignment. It has rattled prominent global players such as the European Union and the United Nations and forced countries to take sides in new ways that have led to escalating tensions and momentous diplomatic shifts.

Loading...

Loading...

Russia is the second-largest producer of natural gas and the third-largest producer of oil. The European Union has particularly depended on Russian energy; it is now preparing to phase in an oil embargo. A historic restructuring is sweeping the global petroleum and gas trade as countries ban or cut Russian energy imports, sanction Russian companies, face Russia's demands for payments in rubles and search for alternative sources.

Loading...

Loading...

Russia has more nuclear weapons than any other country in the world. Its military attack on Ukraine has notably reenergized NATO, a military and political alliance of the United States and European countries. Urgently, countries around the world have escalated military spending or have begun a consequential reevaluation of their defenses.

Loading...

NPR's Susie Cummings, Ayda Pourasad, Will Chase, Greta Pittenger, Lauren Frayer, Emily Feng, Diaa Hadid, Carrie Kahn, D. Parvaz, Scott Neuman and Larry Kaplow contributed to this report.",,,push,ukraine-war refugees,url_2,3
Ukraine-Poland,2022,Article 4,https://www.cas.sk/cl/1003185/2626559/biden-telefonoval-s-ukrajinskym-prezidentom-usa-budu-na-rusku-invaziu-reagovat,unclear,biden-telefonoval-s-ukrajinskym-prezidentom-usa-budu-na-rusku-invaziu-reagovat,pull,usa-budu-na-rusku-invaziu-reagovat,,,,pull,usa-budu-na-rusku-invaziu-reagovat,url_2,3
Ukraine-Poland,2022,Article 5,https://gazeta.ua/articles/politics/_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472,neutral,_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472,neutral,rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri,"Президенти США та України провели телефонну розмову. Фото: Reuters

2 січня президенти США та України Джо Байден і Володимир Зеленський провели телефонну розмову.

Під час перемовин американський лідер чітко дав зрозуміти, що США із союзниками й партнерами дадуть рішучу відповідь, якщо Росія вторгнеться в Україну.

""Байден підкреслив прихильність США, їхніх союзників і партнерів принципу ""нічого про вас без вас"", - ідеться в повідомленні Білого дому.

Також він підтвердив відданість США суверенітету й територіальній цілісності України. І висловив підтримку заходам зміцнення довіри для деескалації напруженості на Донбасі та активній дипломатії для впровадження Мінських домовленостей на підтримку ""нормандського формату"".

Лідери також висловили підтримку дипломатичним зусиллям, які розпочнуться наступного тижня з двостороннього діалогу про стратегічну стабільність, у НАТО через Раду Росія-НАТО та в Організації з безпеки й співробітництва в Європі.

ЧИТАЙТЕ ТАКОЖ: Україна отримає додаткову допомогу від США

Президенти РФ і США Володимир Путін і Джо Байден провели телефонну розмову вдруге за місяць. Головна тема - агресія РФ проти України.",push,potential war may cause people to leave Ukraine,push,potential war may cause people to leave Ukraine,article,3
Ukraine-Poland,2022,Article 6,https://www.lematin.ch/story/joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie-753628635749,neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie-753628635749,pull,soutien-face-a-la-russie,"Le président Biden a assuré à son homologue ukrainien Volodymyr Zelensky que les États-Unis «répondront énergiquement» en cas d’attaque russe.

Le président américain Joe Bide, le 21 décembre 2021 à la Maison-Blanche, à Washington. AFP

Le président américain Joe Biden a assuré à son homologue ukrainien Volodymyr Zelensky, lors d’un appel téléphonique dimanche, que les États-Unis et ses alliés «répondront énergiquement» si la Russie envahissait l’Ukraine.

«Le président Biden a dit clairement que les États-Unis et ses alliés répondront énergiquement si la Russie envahit davantage l’Ukraine», a indiqué dans un communiqué la porte-parole de la Maison-Blanche, Jen Psaki. Joe Biden a également souligné l’engagement de Washington «au principe de «rien à propos de vous sans vous», faisant apparemment référence à la nécessité d’inclure l’Ukraine dans les négociations sur son propre avenir.

«Nous apprécions l’indéfectible soutien à l’Ukraine (de la part des USA)», a réagi Volodymyr Zelensky sur Twitter. «Nous avons évoqué les actions conjointes de l’Ukraine, des États-Unis et de ses partenaires pour maintenir la paix en Europe et éviter une aggravation de la situation».

Pourparlers à Genève

Les 9 et 10 janvier, Russie et États-Unis engageront des pourparlers sur l’Ukraine à Genève. Menés par la vice-secrétaire d’État américaine Wendy Sherman et son homologue russe Sergueï Riabkov, ils seront suivis, le 12 janvier, d’une rencontre Russie-OTAN puis, le 13 janvier, d’une réunion dans le cadre de l’OSCE.

Publicité

Vendredi dernier, Joe Biden avait déjà assuré avoir de nouveau mis en garde le président russe contre une tentative d’invasion de l’Ukraine lors d’un entretien téléphonique la veille: «J’ai dit clairement au président Poutine que nous adopterions des sanctions sévères et que nous augmenterions notre présence en Europe, chez nos alliés de l’OTAN».

«Nous avons été clairs: il ne peut pas, je répète, il ne peut pas envahir l’Ukraine», a insisté Joe Biden. Il s’agissait de la seconde conversation téléphonique entre les deux chefs d’État en trois semaines, en raison des tensions autour de l’Ukraine pro-occidentale, avec la mobilisation de troupes russes à la frontière orientale de l’Ukraine.

«Sanctions sévères»

Ce dimanche, le dirigeant américain a par ailleurs «exprimé son soutien aux mesures de confiance pour désamorcer les tensions dans le Donbass et à une diplomatie active pour faire avancer la mise en œuvre des Accords de Minsk», selon Jen Psaki. Selon ces accords, conclus sous l’égide de la France et de l’Allemagne, l’Ukraine a accepté de mener des réformes politiques et la Russie de mettre fin à son soutien aux rebelles séparatistes prorusses.

Publicité

Washington et ses alliés européens accusent Moscou de menacer l’Ukraine d’une nouvelle invasion, après celle de la Crimée en 2014, et d’avoir fomenté une guerre séparatiste prorusse qui a éclaté la même année dans l’Est. Quelque 100’000 soldats russes sont massés près de la frontière du pays.

Pour Moscou, la sécurité de la Russie passe par l’interdiction de tout élargissement de l’OTAN, perçue comme une menace existentielle, et la fin des activités militaires occidentales à proximité des frontières russes, zone qu’elle considère comme relevant de son aire d’influence.",,,pull,soutien-face-a-la-russie,url_2,3
Ukraine-Poland,2022,Article 7,https://gazeta.ua/articles/politics/_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472,neutral,_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472,neutral,rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri,"Президенти США та України провели телефонну розмову. Фото: Reuters

2 січня президенти США та України Джо Байден і Володимир Зеленський провели телефонну розмову.

Під час перемовин американський лідер чітко дав зрозуміти, що США із союзниками й партнерами дадуть рішучу відповідь, якщо Росія вторгнеться в Україну.

""Байден підкреслив прихильність США, їхніх союзників і партнерів принципу ""нічого про вас без вас"", - ідеться в повідомленні Білого дому.

Також він підтвердив відданість США суверенітету й територіальній цілісності України. І висловив підтримку заходам зміцнення довіри для деескалації напруженості на Донбасі та активній дипломатії для впровадження Мінських домовленостей на підтримку ""нормандського формату"".

Лідери також висловили підтримку дипломатичним зусиллям, які розпочнуться наступного тижня з двостороннього діалогу про стратегічну стабільність, у НАТО через Раду Росія-НАТО та в Організації з безпеки й співробітництва в Європі.

ЧИТАЙТЕ ТАКОЖ: Україна отримає додаткову допомогу від США

Президенти РФ і США Володимир Путін і Джо Байден провели телефонну розмову вдруге за місяць. Головна тема - агресія РФ проти України.",push,potential war may cause people to leave Ukraine,push,potential war may cause people to leave Ukraine,article,3
Ukraine-Poland,2022,Article 8,https://naslovi.net/2022-01-03/blic/da-sacuvamo-mir-u-evropi-zelenski-razgovarao-sa-bajdenom-o-akcijama-u-ukrajini-reformi-i-borbama-protiv-oligarha/29657762,neutral,da-sacuvamo-mir-u-evropi-zelenski-razgovarao-sa-bajdenom-o-akcijama-u-ukrajini-reformi-i-borbama-protiv-oligarha/29657762,neutral,No clear migration-related tokens,"Ukrajinski predsednik Volodimir Zelenski rekao je da je sa američkim predsenikom Džoom Bajdenom u nedelju razgovarao o akcijama koje treba preduzeti kako bi se sačuvao mir u Evropi, reformama i borbi protiv oligarha u Ukrajini. - Razgovarali smo o zajedničkim akcijama Ukrajine, SAD i partnera kako bismo sačuvali mir u Evropi i sprečili dalju eskalaciju, reformama i bobi protiv oligarhije. Cenimo nepokolebljivu podršku Ukrajini - napisao je Zelenski na Tviteru.",push,"war, conflict in Ukraine",push,"war, conflict in Ukraine",article,3
Ukraine-Poland,2022,Article 9,https://gazeta.ua/articles/politics/_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472,neutral,_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472,neutral,No clear migration-related tokens,"Президенти США та України провели телефонну розмову. Фото: Reuters

2 січня президенти США та України Джо Байден і Володимир Зеленський провели телефонну розмову.

Під час перемовин американський лідер чітко дав зрозуміти, що США із союзниками й партнерами дадуть рішучу відповідь, якщо Росія вторгнеться в Україну.

""Байден підкреслив прихильність США, їхніх союзників і партнерів принципу ""нічого про вас без вас"", - ідеться в повідомленні Білого дому.

Також він підтвердив відданість США суверенітету й територіальній цілісності України. І висловив підтримку заходам зміцнення довіри для деескалації напруженості на Донбасі та активній дипломатії для впровадження Мінських домовленостей на підтримку ""нормандського формату"".

Лідери також висловили підтримку дипломатичним зусиллям, які розпочнуться наступного тижня з двостороннього діалогу про стратегічну стабільність, у НАТО через Раду Росія-НАТО та в Організації з безпеки й співробітництва в Європі.

ЧИТАЙТЕ ТАКОЖ: Україна отримає додаткову допомогу від США

Президенти РФ і США Володимир Путін і Джо Байден провели телефонну розмову вдруге за місяць. Головна тема - агресія РФ проти України.",push,"war, potential conflict",push,"war, potential conflict",article,3
Ukraine-Poland,2022,Article 10,https://naslovi.net/2022-01-03/blic/da-sacuvamo-mir-u-evropi-zelenski-razgovarao-sa-bajdenom-o-akcijama-u-ukrajini-reformi-i-borbama-protiv-oligarha/29657762,neutral,da-sacuvamo-mir-u-evropi-zelenski-razgovarao-sa-bajdenom-o-akcijama-u-ukrajini-reformi-i-borbama-protiv-oligarha/29657762,neutral,No clear migration-related tokens,"Ukrajinski predsednik Volodimir Zelenski rekao je da je sa američkim predsenikom Džoom Bajdenom u nedelju razgovarao o akcijama koje treba preduzeti kako bi se sačuvao mir u Evropi, reformama i borbi protiv oligarha u Ukrajini. - Razgovarali smo o zajedničkim akcijama Ukrajine, SAD i partnera kako bismo sačuvali mir u Evropi i sprečili dalju eskalaciju, reformama i bobi protiv oligarhije. Cenimo nepokolebljivu podršku Ukrajini - napisao je Zelenski na Tviteru.",push,"war, conflict in Ukraine",push,"war, conflict in Ukraine",article,3
