feature,coefficient,abs_coefficient
num__log_origin_gdp_pc,0.0,0.0
num__shared_border,0.0,0.0
cat__pair_id_mexico__united states,0.0,0.0
num__unclear_count,0.0,0.0
num__mixed_count,0.0,0.0
num__pull_count,0.0,0.0
num__push_count,-0.0,0.0
num__n_articles,0.0,0.0
num__unclear_ratio,0.0,0.0
num__mixed_ratio,0.0,0.0
num__pull_ratio,0.0,0.0
num__push_ratio,-0.0,0.0
num__article_relevance_score,0.0,0.0
num__gpi_diff,0.0,0.0
num__log_dest_gdp_pc,0.0,0.0
num__hdi_diff,0.0,0.0
num__gdp_pc_diff,0.0,0.0
num__log_distance_km,0.0,0.0
num__dest_hdi,0.0,0.0
num__origin_hdi,0.0,0.0
num__dest_gpi,0.0,0.0
num__origin_gpi,-0.0,0.0
num__dest_life_expectancy,0.0,0.0
num__origin_life_expectancy,0.0,0.0
num__dest_expected_schooling,-0.0,0.0
num__origin_expected_schooling,0.0,0.0
cat__pair_id_ukraine__poland,-0.0,0.0
