topic_label,origin,destination,month,source_name,domain,title,url,snippet,search_query,article_text,article_text_length
syria,Syria,Turkey,2021-11,bbc,bbc.com,"Syria: Which countries have been involved in the war and why?'We are still at war': Syria's Kurds battle Turkey months ...Syria without Assad is lighter - but now there are new problemsSyria: The story of the conflict - BBC NewsWhy has the Syrian war lasted 12 years? - BBC NewsTurkey v Syria's Kurds: The short, medium and long storySyria country profile - BBC News",https://www.bbc.com/news/articles/cd75e8gdy9jo,"Dec 10, 2024 · During Syria's civil war, Turkey has supported rebel factions - most of which now fight under the banner of the Syrian National Army (SNA) - by providing arms, military and political... Feb 26, 2025 · As well as more than a decade of civil war, the Syrian Kurds have faced years of conflict with its northern neighbour, Turkey - a battle they are still fighting. Dec 8, 2025 · A year ago, the war that President Bashar al-Assad seemed to have won was turned upside down. A rebel force had broken out of Idlib, a Syrian province on the border with Turkey, and was... Mar 11, 2016 · More than 250,000 Syrians have lost their lives in four-and-a-half years of armed conflict, which began with anti-government protests before escalating into a full-scale civil war. May 2, 2023 · A peaceful uprising against the president of Syria 12 years ago turned into a full-scale civil war. The conflict has left half a million people dead, devastated cities and drawn in other... Oct 23, 2019 · A deal between Turkey and Russia has brought an end to a Turkish military operation in north-eastern Syria against a Kurdish-led militia alliance previously allied to the United States. Jan 7, 2025 · Following the 2011 Arab Spring, Syria saw a multi-sided civil war, with involvement of different countries. More than six million Syrians fled the country.",site:bbc.com Syria Turkey civil war conflict November 2021,"A stunning advance by Syrian rebels ended Bashar al-Assad's 24-year-long rule, with opposition forces taking the capital and forcing the president to flee on 8 December.

The overthrow followed a 13-year civil war, which started after Assad crushed pro-democracy protests. The fighting killed more than half a million people, displaced millions more, and embroiled international powers and their proxies.

The world is now watching to see how Syria's political landscape shapes up after the end of the Assad family's half-century rule.

Those with a vested interest in the conflict and the future of the country include, on one side, Russia and Iran - which backed Assad - and on the other, the US and Turkey, which supported different rebel groups and militias.

Here we explore how those countries, along with Israel, have played a role in Syria - and could continue to do so.

During Syria's civil war, Turkey has supported rebel factions - most of which now fight under the banner of the Syrian National Army (SNA) - by providing arms, military and political support.

Syria's northern neighbour has mostly been concerned with using rebels to contain the Kurdish YPG militia , which Turkey accuses of being an extension of a domestically banned Kurdish rebel group, the PKK. Turkey also wants the roughly three million Syrian refugees living in its country to return home.

The YPG is the biggest militia in the US-backed and Kurdish-led Syrian Democratic Forces (SDF) alliance, which controls much of the north-east of the country.

The SDF largely avoided conflict with Assad's forces during the war. However, Turkish troops and allied rebels seized stretches of territory from the YPG and SDF along Syria's northern border.

Turkey has also been politically involved. In 2020, Turkey and Russia brokered a ceasefire to halt a push by the government to retake Idlib, the rebels' stronghold in the north-west.

Idlib was dominated by the Islamist militant group Hayat Tahrir al-Sham (HTS), which led the rebels who eventually overthrew Assad.

Many believe the offensive could not have happened without Turkey's blessing. Turkey has denied backing HTS.

Meanwhile, conflict in Syria's north continues: At the same time as HTS launched its offensive, the SNA launched a separate assault on areas held by the SDF.

Russia already had a decades-long relationship with the Assad government, and had military bases there before the civil war.

Russian President Vladimir Putin used his country's presence in Syria, and support of Assad, to challenge the power and dominance of the West in the region.

In 2015, Russia launched an air campaign and sent thousands of troops in support of the Assad regime.

In return , Russia received 49-year leases on an air base and naval base, which provided crucial hubs in the eastern Mediterranean for transferring military contractors in and out of Africa.

This marked an important stage in Russia's attempt to assert itself as a global power, previously focusing its efforts on nations that were once in the Soviet bloc.

But fighting a war in Ukraine since 2022 preoccupied Assad's ally, contributing to the Syrian military's swift defeat to rebel groups in late November and early December.

Assad and his family were granted asylum in Moscow after fleeing Damascus, Russian media reported.

After Syria's pro-democracy protests in 2011 were met with force, then US-president Barack Obama backed the opposition to Assad's rule.

The US provided military support to what it considered moderate rebel groups and intervened militarily in order to combat the Islamic State (IS) group in 2014.

A US-led global coalition carried out air strikes and deployed special forces to help the Kurdish-led SDF alliance capture territory once held by IS in the north-east.

After the Assad government fell, the US government said it conducted dozens of air strikes against IS camps and operatives in central Syria to ensure IS could not take advantage of the unstable situation.

President-elect Donald Trump, who takes office in January, said Syria is a ""mess"" the US should stay out of. When Trump was president in 2019, he ordered the withdrawal of US troops from Syria, a move his officials gradually rowed back.

The US currently has around 900 troops in Syria, mostly in the north-east.

Iran and Syria have been allies since Iran's Islamic Revolution in 1979. Syria backed Iran during the Iran-Iraq war in the 1980s.

During the Syrian civil war, Iran is believed to have deployed hundreds of troops and spent billions of dollars to help Assad.

Thousands of Shia Muslim fighters armed, trained and financed by Iran - mostly from the Lebanon-based Hezbollah movement, but also from Iraq, Afghanistan and Yemen - have also fought alongside the Syrian army.

But similar to Russia with Ukraine, Hezbollah was weakened by conflict with Israel in Lebanon, likely hastening the downfall of the Syrian military.

Israel seized the Golan from Syria in the closing stages of the 1967 Six-Day War and unilaterally annexed it in 1981. The move was not recognised internationally, although the US did so unilaterally in 2019.

Israel has conducted hundreds of air strikes against Iran-linked targets in Syria during the war, although it has rarely acknowledged such strikes.

Since rebels overthrew Assad, Israel has carried out hundreds of strikes across Syria. Targets have included Syria's military infrastructure, naval fleet, and weapons production sites.

Israel has said it is acting to stop weapons falling ""into the hands of extremists"".

Israeli forces have also seized the demilitarised buffer zone in the Golan Heights. Israel said the 1974 disengagement agreement with Syria had ""collapsed"" with the rebel takeover of the country.

It has also acknowledged that its troops are operating further inside Syria at ""a few additional points"" beyond the buffer zone, but insisted that they ""are not advancing towards Damascus"".",5958
syria,Syria,Turkey,2021-11,bbc,bbc.com,'We are still at war': Syria's Kurds battle Turkey months ...,https://www.bbc.com/news/articles/c4g0w0x28yxo,"Feb 26, 2025 · As well as more than a decade of civil war, the Syrian Kurds have faced years of conflict with its northern neighbour, Turkey - a battle they are still fighting.",site:bbc.com Syria Turkey civil war conflict November 2021,"""In reality, we are still at war with Turkey and its proxies. Turkish jets and drones continue to bomb us,"" he says, adding: ""In Damascus, it remains unclear what steps the new government will take. Their statements are positive, but they are under pressure from Turkey to act against the areas under our control.",313
syria,Syria,Turkey,2021-11,bbc,bbc.com,Syria without Assad is lighter - but now there are new problems,https://www.bbc.com/news/articles/cy7v53366ejo,"Dec 8, 2025 · A year ago, the war that President Bashar al-Assad seemed to have won was turned upside down. A rebel force had broken out of Idlib, a Syrian province on the border with Turkey, and was...",site:bbc.com Syria Turkey civil war conflict November 2021,"His grumble was about more than my sartorial choices. It was the continuation of a long campaign that had started years earlier as Sharaa built up his power in Idlib. The campaign was designed to present him as a man who had outgrown his jihadist roots to become a worthy leader of all Syria, a leader the rest of the world should take seriously and treat with respect.",369
syria,Syria,Turkey,2021-11,bbc,bbc.com,Syria: The story of the conflict - BBC News,https://www.bbc.com/news/world-middle-east-26116868,"Mar 11, 2016 · More than 250,000 Syrians have lost their lives in four-and-a-half years of armed conflict, which began with anti-government protests before escalating into a full-scale civil war.",site:bbc.com Syria Turkey civil war conflict November 2021,"Pro-democracy protests erupted in March 2011 in the southern city of Deraa after the arrest and torture of some teenagers who painted revolutionary slogans on a school wall. After security forces opened fire on demonstrators, killing several, more took to the streets.

The unrest triggered nationwide protests demanding President Assad's resignation. The government's use of force to crush the dissent merely hardened the protesters' resolve. By July 2011, hundreds of thousands were taking to the streets across the country.

Opposition supporters eventually began to take up arms, first to defend themselves and later to expel security forces from their local areas.",669
syria,Syria,Turkey,2021-11,bbc,bbc.com,Why has the Syrian war lasted 12 years? - BBC News,https://www.bbc.com/news/world-middle-east-35806229,"May 2, 2023 · A peaceful uprising against the president of Syria 12 years ago turned into a full-scale civil war. The conflict has left half a million people dead, devastated cities and drawn in other...",site:bbc.com Syria Turkey civil war conflict November 2021,"Twelve years of war have inflicted immense suffering on the Syrian people.

In addition to the bloodshed, more than half of Syria's pre-war population of 22 million have had to flee their homes. Some 6.8 million are internally displaced, with more than two million living in tented camps with limited access to basic services.

Another 6 million are refugees or asylum-seekers abroad. Neighbouring Lebanon, Jordan and Turkey, which are hosting 5.3 million of them, external, have struggled to cope with one of the largest refugee exoduses in recent history.

At the start of 2023, the UN said 15.3 million people inside Syria were in need of some form of humanitarian assistance - an all-time high since the war began - and 12 million did not know where their next meal was coming from.

The already dire humanitarian situation in north-western Syria - the location of the last opposition stronghold - was made significantly worse by the huge earthquake that struck near the Turkish city of Gaziantep, about 80km (50 miles) from the Syrian border, on 6 February 2023.

More than 5,900 people were killed across Syria and another 8.8 million were affected, according to the UN. Thousands of homes and critical infrastructure were destroyed, leaving many families without food, water and shelter. Deliveries of life-saving aid to opposition-held areas were also delayed for days because of what a UN panel described as ""shocking"" failures by the warring parties as well as the international community.

The disaster happened at a time when the prices of food and fuel in Syria were already skyrocketing because of runaway inflation and the collapse of its currency, as well as the global crisis exacerbated by the war in Ukraine.

Syria has also been one of the countries in the Middle East worst affected by the Covid-19 pandemic - although the true extent is not known because of limited testing - and is now also having to deal with a deadly cholera outbreak that was made worse by the earthquake.

Access to medical care is severely restricted for the sick and injured because only half of the country's hospitals are fully functional.

Despite their protected status, 601 attacks on at least 400 separate medical facilities had been documented by Physicians for Human Rights as of February 2022, external, resulting in the deaths of 942 medical personnel. The vast majority of the attacks were blamed on government and Russian forces.

Entire neighbourhoods and vital infrastructure across the country also remain in ruins. UN satellite analysis suggested that more than 35,000 structures were damaged or destroyed in Aleppo city alone before it was recaptured by the government in late 2016.

Much of Syria's rich cultural heritage has likewise been destroyed. All six of the country's Unesco World Heritage sites have been damaged significantly, with IS militants deliberately blowing up parts of the ancient city of Palmyra.

A UN commission of inquiry has concluded, external that the warring parties ""have cumulatively committed almost every crime against humanity... and nearly every war crime applicable in a non-international armed conflict"".

""Syrians,"" a February 2021 report says, ""have suffered vast aerial bombardments of densely populated areas; they have endured chemical weapons attacks and modern day sieges in which perpetrators deliberately starved the population along medieval scripts and indefensible and shameful restrictions on humanitarian aid"".",3473
syria,Syria,Turkey,2021-11,bbc,bbc.com,"Turkey v Syria's Kurds: The short, medium and long story",https://www.bbc.com/news/world-middle-east-49963649,"Oct 23, 2019 · A deal between Turkey and Russia has brought an end to a Turkish military operation in north-eastern Syria against a Kurdish-led militia alliance previously allied to the United States.",site:bbc.com Syria Turkey civil war conflict November 2021,"A deal between Turkey and Russia has brought an end to a Turkish military operation in north-eastern Syria against a Kurdish-led militia alliance previously allied to the United States.

Turkey considers the biggest militia in the Kurdish-led alliance a terrorist organisation. It says it is an extension of a Kurdish rebel group fighting in Turkey.

On 9 October, Turkish troops and allied Syrian rebels launched an offensive to create a 30km (20-mile) deep ""safe zone"" along the Syrian side of the border.

It came after the withdrawal of US troops, who had relied on the Kurds to defeat the Islamic State group.

The Kurds asked Syria's government and its ally, Russia, to help stop the assault.

Turkey and Russia subsequently agreed to take joint control of the border area.

Turkey wants to push back from its border members of a Syrian Kurdish militia called the People's Protection Units (YPG).

Turkish leaders view the YPG as a terrorist organisation. They say it is an extension of the Kurdistan Workers' Party (PKK), which has fought for Kurdish autonomy in Turkey for decades.

The YPG dominates an alliance of Kurdish and Arab militias called the Syrian Democratic Forces (SDF), which drove IS out of a quarter of Syria with the help of a US-led multinational coalition.

When the US declared the defeat of IS in March, Turkish President Recep Tayyip Erdogan pushed it to create a ""safe zone"" clear of YPG fighters in north-eastern Syria where refugees could be resettled.

The US agreed to establish one together with Turkey in August and the YPG complied.

But two months later, US troops pulled back from the border after Mr Erdogan decided to launch an operation to create a 440km-long ""safe zone"" unilaterally.

The SDF said it had been ""stabbed in the back"" by the US and warned the defeat of IS might be reversed.

On 9 October, Turkish troops and allied Syrian rebels attacked. Four days later, the SDF turned to the Syrian government and its backer, Russia, for help. They agreed to deploy Syrian soldiers to stop the advance.

The US negotiated a 5-day ceasefire on 17 October to allow YPG fighters to withdraw from a 120km-long stretch of the frontier from Ras al-Ain to Tal Abyad where the fighting was focused.

Just before the ceasefire expired, Mr Erdogan reached a deal with Russian President Vladimir Putin.

They agreed Turkey could keep its forces in the area between Ras al-Ain and Tal Abyad, and that Russian and Syrian troops would take control of the rest of the border.

It feels threatened by the People's Protection Units (YPG), the military wing of the Kurdish Democratic Union Party (PYD).

The Turkish government insists the YPG is an extension of the Kurdistan Workers' Party (PKK), which has fought for Kurdish autonomy in Turkey since 1984 and is designated as a terrorist group by the US and EU. The YPG and PKK share a similar ideology, but say they are separate entities.

The YPG is the dominant force in an alliance of Kurdish and Arab militias called the Syrian Democratic Forces (SDF). With the help of air strikes by a US-led multinational coalition against the jihadist group Islamic State (IS), SDF fighters captured tens of thousands of square kilometres of territory in north-eastern Syria between 2015 and 2019.

The SDF set up an autonomous administration to govern the region, home to three million people. It avoided conflict with the Syrian government, but sought recognition for Kurdish autonomy.

Despite being a member of Nato and the US-led coalition against IS, Turkey opposed the support the US gave the SDF.

In 2016, the Turkish military supported an offensive by allied Syrian rebel factions that drove IS militants out of the border area around Jarablus and stopped SDF fighters moving west, towards the Kurdish enclave of Afrin.

In January 2018, after US officials said they were helping the SDF build a new ""border security force"" to prevent IS infiltration, Turkish-led forces launched an operation to expel YPG fighters from Afrin.

Turkish President Recep Tayyip Erdogan has long sought what he has called a ""safe zone"" clear of YPG fighters in north-east Syria. But the issue came to the fore after the SDF captured the last pocket of IS territory in Syria in March 2019.

In August, the US and Turkey agreed to a ""security mechanism"" covering a predominantly Arab border area between Ras al-Ain and Tal Abyad.

US and Turkish troops carried out joint patrols and YPG began dismantling fortifications.

But on 6 October, Mr Erdogan told US President Donald Trump that Turkey was about to start a unilateral operation to set up a ""safe zone"". Mr Trump ordered US troops to pull back from the area.

At the start of ""Operation Peace Spring"" on 9 October, Mr Erdogan said Turkish troops and allied Syrian rebels aimed to ""neutralize terror threats against Turkey and lead to the establishment of a safe zone, facilitating the return of Syrian refugees to their homes"".

SDF commanders warned that a Turkish offensive would ""spill the blood of thousands of innocent civilians"" and might pave the way for the return of IS.

The Syrian Observatory for Human Rights, a UK-based monitoring group, said 120 civilians were killed, along with 275 SDF fighters, 196 Turkish-backed Syrian rebels, 10 Turkish soldiers, and five Syrian soldiers.

President Erdogan said 775 ""terrorists"" had been ""neutralised"" and that 79 Syrian rebels and seven Turkish soldiers had been killed. He denied any civilians had been killed in Syria but said 20 had died in YPG attacks on Turkey.

The UN said at least 176,000 people had been displaced by the fighting and that critical civilian infrastructure had been damaged.

After four days of fighting, the US began a full withdrawal from northern Syria and the Kurds agreed a deal with Syrian President Bashar al-Assad's government for the Syrian army to deploy along the northern border for the first time in years to confront the Turkish-led forces. Russia, Mr Assad's staunch ally, sent military police to key locations.

On 17 October, the US persuaded Mr Erdogan to ""pause"" Turkey's offensive to allow it to ""facilitate the withdrawal of YPG forces from the Turkish-controlled safe zone"". The ceasefire largely held and on 22 October the head of the SDF said the withdrawal had been completed.

That same day, Mr Erdogan and Russian President Vladimir Putin announced a plan to end the offensive. They agreed:

There are questions about the deal, such as how long the Turkish forces can stay and what will happen to the tens of thousands of people being detained by the SDF on suspicion of links to IS. But there is no doubt it has cemented Russia's role as the pivotal player in Syria.",6692
syria,Syria,Turkey,2021-11,bbc,bbc.com,Syria country profile - BBC News,https://www.bbc.com/news/world-middle-east-14703856,"Jan 7, 2025 · Following the 2011 Arab Spring, Syria saw a multi-sided civil war, with involvement of different countries. More than six million Syrians fled the country.",site:bbc.com Syria Turkey civil war conflict November 2021,"Syria covers an area that has seen invasions and occupations over the ages, from Romans and Mongols to Crusaders and Turks.

It is home to diverse ethnic and religious groups, including Kurds, Armenians, Assyrians, Christians, Druze, Alawites, and Shia and Sunni Arabs, the last of whom make up a majority of the Muslim population.

Modern Syria gained its independence from France in 1946, after which it saw considerable political instability with multiple military coups and coup attempts between 1949 and 1971. Between 1958 and 1961 it briefly joined with Egypt to form the United Arab Republic. Significantly, the 1963 coup saw the Arab Socialist Ba'ath Party establish a one-party state.

General Hafez al-Assad seized power in 1970, setting up a repressive political system. After his death in 2000, his son Bashar al-Assad inherited the presidency.

Following the 2011 Arab Spring, Syria saw a multi-sided civil war, with involvement of different countries. More than six million Syrians fled the country.

After the defeat of Islamic State, the frontlines stabilised with the country effectively divided into cantons. In late 2024, a coalition led by Hayat Tahrir al-Sham (HTS) swiftly captured several major cities, including Damascus, and toppled Assad's regime.",1273
syria,Syria,Turkey,2021-11,bbc,bbc.com,Syrian civil war: 'Three killed' in attack on Turkish convoy,https://www.bbc.com/news/world-middle-east-49394759,"Syria has condemned the convoy as an act of aggression and says it is heading for the rebel-held town of Khan Sheikhoun. A Syrian government air strike aiming to stop a Turkish convoy reaching a rebel-held town in northern Syria has killed three civilians, Turkey alleges.",site:bbc.com Syria Turkey civil war 2021,"A Syrian government air strike aiming to stop a Turkish convoy reaching a rebel-held town in northern Syria has killed three civilians, Turkey alleges.

Another 12 people were injured in the attack in Idlib province on Monday, the Turkish defence ministry said.

Idlib, one of the few areas not under government control, was supposed to be protected by a buffer zone agreed with rebel-backing Turkey last year.

But government assaults have been on the increase since April.

Hundreds of civilians have already been killed as a result, and there are fears many more will die if the situation continues to escalate.

""This is our worst nightmare coming true,"" Jan Egeland, from the Norwegian Refugee Council (NRC), told the BBC.

""We have for years now warned against the ultimate catastrophe being Idlib, where there was no escape for three million civilians. There are some very bad militants inside.

""But a wholesale attack on this area of Idlib and adjacent northern Hama would mean that a million children would come in horrific crossfire, and it's that that now seems to be happening.""

Turkey, which backs some, but not all, the rebels, has forces in Idlib as part of last year's agreement with Russia.

According to Naji Mustafa, a spokesman for the National Liberation Front rebel grouping, the convoy was heading to one of its observation points with ""reinforcements"" when the attack took place.

An AFP correspondent who saw the convoy reported it included about 50 armoured vehicles, at least five of which were tanks.

But Syria has said the convoy's arrival in the region is an act of aggression. It said the munitions would not stop government forces ""hunting the remnants of terrorists"".

According to the UK-based Syrian Observatory for Human Rights (SOHR), a Russian aircraft carried out strikes near the convoy on 19 August.

Turkey has said the attack breaches last year's agreement, with the incident raising fears of direct clashes between the countries.

After eight years of war, the Syrian government is trying to win back control of the last rebel-held areas.

Government forces, backed by Russia, reportedly entered the northwest outskirts of Khan Sheikhoun on Sunday.

Khan Sheikhoun, which was hit by a Sarin gas attack in 2017, lies on a highway connecting Damascus to Aleppo and is a strategically important town in the south of the province.

If it is captured, it will mean the Syrian regime has effectively encircled a rebel-held area to the south, which includes a Turkish observation post in the town of Morek.

Mr Mustafa told AFP the convoy was heading to Morek.

Syrian forces have now massed to both the east and west of Khan Sheikhoun, and air strikes are targeting the centre and surrounding villages.

Last week a Syrian government war plane was shot down in the area , hit by an anti-aircraft missile fired by militants, according to Syrian state news agency Sana.

Jihadist group Hayat Tahrir al-Sham (HTS) has claimed responsibility and released footage purportedly showing the captured pilot.

A colonel from a rebel faction confirmed to Reuters news agency that there were battles going on on the outskirts. Fighters from a Turkish-backed rebel force have joined the defence, he said.

The country descended into war after President Bashar al-Assad's government used deadly force to crackdown on pro-democracy protesters, who took to the streets in March 2011 demanding political freedom.

That's complicated: President Assad's regime is fighting rebel groups ranging from pro-democracy groups to jihadist extremists, while a number of foreign powers are providing support to various sides.

It is not known exactly, as death tolls vary according to the source, but it is estimated to stand at more than 500,000 dead or missing.

More than 5.6 million people have fled Syria since 2011, with another 6.6 million internally displaced, according to the United Nations.

His position looked tenuous at one point during the eight year conflict, but thanks to international allies like Russia and Iran, President Assad has won back control of most of Syria, and has set his sights on Idlib.",4133
syria,Syria,Turkey,2021-11,bbc,bbc.com,Turkey Syria offensive: Erdogan and Putin strike deal over Kurds,https://www.bbc.com/news/world-middle-east-50138121,Turkey's Syria offensive explained in four maps. Who supplies weapons to Turkey? Russian and Syrian forces will move in immediately to oversee the Kurdish pullback.,site:bbc.com Syria Turkey civil war 2021,"Syria's President Bashar al-Assad has raised concern about foreign interference in Syria but the Kremlin said he had thanked President Putin and ""expressed his full support for the results of the work as well as the readiness of the Syrian border guards, together with the Russian military police, to reach the Syrian-Turkish border"".",334
syria,Syria,Turkey,2021-11,bbc,bbc.com,Turkey v Syria's Kurds v Islamic State - BBC News,https://www.bbc.com/news/world-middle-east-33690060,"Why Turkey is bombarding Kurdish fighters inside Syria, and where it might lead.PKK leaders have repeatedly warned of a ""total civil war"" inside Turkey in retaliation for attacks against Syria 's Kurds.",site:bbc.com Syria Turkey civil war 2021,"Turkey has been shelling both Kurdish fighters of the Popular Protection Units (YPG) and so-called Islamic State inside northern Syria.

The YPG are widely regarded as one of the most effective forces in the fight against IS and attacks on them have prompted calls from the UN, US and EU for Turkey to show restraint.

Ankara says it is retaliating against what it calls provocations by the YPG but it has long warned against the group making territorial advances in northern Syria near its border.",498
