feature,base_penalty_v,best_eta,final_penalty_weight,coefficient,abs_coefficient
num__unclear_count,1.0,1,1.0,-0.03667073345311101,0.03667073345311101
num__log_origin_gdp_pc,1.0,1,1.0,0.0,0.0
num__log_dest_gdp_pc,1.0,1,1.0,0.0,0.0
num__n_articles,1.0,1,1.0,-0.0,0.0
num__mixed_count,1.0,1,1.0,-0.0,0.0
num__pull_count,1.0,1,1.0,-0.0,0.0
num__push_count,1.0,1,1.0,-0.0,0.0
num__gpi_diff,1.0,1,1.0,0.0,0.0
num__hdi_diff,1.0,1,1.0,0.0,0.0
num__gdp_pc_diff,1.0,1,1.0,0.0,0.0
num__log_distance_km,1.0,1,1.0,0.0,0.0
num__dest_hdi,1.0,1,1.0,0.0,0.0
num__origin_hdi,1.0,1,1.0,0.0,0.0
num__dest_gpi,1.0,1,1.0,0.0,0.0
num__origin_gpi,1.0,1,1.0,0.0,0.0
num__dest_life_expectancy,1.0,1,1.0,0.0,0.0
num__origin_life_expectancy,1.0,1,1.0,0.0,0.0
num__dest_expected_schooling,1.0,1,1.0,0.0,0.0
num__origin_expected_schooling,1.0,1,1.0,0.0,0.0
cat__pair_id_ukraine__poland,1.0,1,1.0,0.0,0.0
